127.0.0.1 - - [23/Jan/2018:13:28:13 +0530] "GET / HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:28:16 +0530] "GET /hcl-project/dashboard.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:30:37 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:32:25 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:33:05 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:35:25 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:37:51 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1644
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:38:32 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1676
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:39:37 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1667
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:45:25 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:45:51 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:46:18 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:48:35 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:49:25 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:50:29 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [23/Jan/2018:13:52:28 +0530] "GET /hcl-project/newPage.html HTTP/1.1" 200 1257
